Store,Family,Model,RMSLE (Multivariat + Cluster LB 30),RMSLE (Univariat LB 14),RMSLE (Univariat LB 30),RMSLE (Multivariat LB 30 - Set A),Delta vs Exp 3,Delta vs Exp 2
23,EGGS,Simple LSTM,0.3721981326161279,0.36909,0.365793,0.367888,0.004310132616127893,0.0064051326161279065
23,EGGS,Complex LSTM,0.3695020422854236,0.379503,0.369177,0.367854,0.0016480422854235899,0.0003250422854236268
54,MEATS,Simple LSTM,0.40549994778385423,0.413072,0.397368,0.398397,0.00710294778385423,0.008131947783854232
54,MEATS,Complex LSTM,0.39896340839534594,0.387334,0.386911,0.400432,-0.0014685916046540681,0.012052408395345937
19,PREPARED FOODS,Simple LSTM,0.4142360527715173,0.421896,0.433796,0.398521,0.0157150527715173,-0.0195599472284827
19,PREPARED FOODS,Complex LSTM,0.40116427467484456,0.41809,0.417965,0.403964,-0.0027997253251554333,-0.01680072532515542
7,SEAFOOD,Simple LSTM,0.4415547179771002,0.422298,0.428314,0.452335,-0.010780282022899768,0.013240717977100247
7,SEAFOOD,Complex LSTM,0.44209778644429404,0.430998,0.456076,0.42808,0.014017786444294023,-0.013978213555705943
23,PREPARED FOODS,Simple LSTM,0.4684717171489766,0.4398,0.446348,0.429285,0.03918671714897659,0.022123717148976596
23,PREPARED FOODS,Complex LSTM,0.4104896373251682,0.445774,0.447396,0.898802,-0.4883123626748318,-0.03690636267483183
44,GROCERY I,Simple LSTM,0.792478532437373,0.689337,0.691444,0.777709,0.014769532437373,0.10103453243737304
44,GROCERY I,Complex LSTM,0.7767175530463065,0.667428,0.66983,0.777719,-0.00100144695369353,0.10688755304630648
