date,store_nbr,family,actual,naive,individual_lstm,global_simple_lstm,global_lstm,onpromotion,is_payday
2017-06-16,23,EGGS,199.9,149.2,148.8,162.6,191.0,12,0
2017-06-17,23,EGGS,169.0,135.6,135.7,155.5,168.9,0,0
2017-06-18,23,EGGS,183.2,140.5,137.4,176.3,177.5,0,0
2017-06-19,23,EGGS,178.3,160.0,175.6,178.4,162.0,0,0
2017-06-20,23,EGGS,176.7,179.5,199.7,168.3,178.5,0,0
2017-06-21,23,EGGS,181.6,184.4,175.7,176.0,179.8,0,0
2017-06-22,23,EGGS,189.8,170.8,186.9,170.1,164.1,0,0
2017-06-23,23,EGGS,158.4,199.9,159.4,146.6,147.7,0,0
2017-06-24,23,EGGS,165.0,169.0,144.6,154.3,173.4,0,0
2017-06-25,23,EGGS,182.0,183.2,167.3,172.0,175.4,0,0
2017-06-26,23,EGGS,154.4,178.3,189.5,151.1,154.8,0,0
2017-06-27,23,EGGS,218.8,176.7,173.0,180.6,218.9,12,0
2017-06-28,23,EGGS,187.3,181.6,207.1,173.0,185.0,0,0
2017-06-29,23,EGGS,147.9,189.8,117.3,182.2,166.7,0,0
2017-06-30,23,EGGS,184.5,158.4,168.2,177.8,201.8,0,1
2017-07-01,23,EGGS,163.9,165.0,158.6,164.6,170.1,0,0
2017-07-02,23,EGGS,163.3,182.0,154.6,178.2,169.7,0,0
2017-07-03,23,EGGS,163.8,154.4,161.8,149.7,161.5,0,0
2017-07-04,23,EGGS,168.6,218.8,135.5,178.5,181.1,0,0
2017-07-05,23,EGGS,167.4,187.3,172.8,191.7,187.9,0,0
2017-07-06,23,EGGS,188.4,147.9,174.4,155.7,174.8,0,0
2017-07-07,23,EGGS,146.4,184.5,180.8,152.3,143.8,0,0
2017-07-08,23,EGGS,216.2,163.9,147.0,169.5,205.3,12,0
2017-07-09,23,EGGS,158.4,163.3,144.8,178.0,176.6,0,0
2017-07-10,23,EGGS,153.5,163.8,150.4,149.6,162.2,0,0
2017-07-11,23,EGGS,180.9,168.6,191.3,165.5,180.9,0,0
2017-07-12,23,EGGS,170.6,167.4,183.4,185.1,199.6,0,0
2017-07-13,23,EGGS,175.4,188.4,157.4,171.7,172.8,0,0
2017-07-14,23,EGGS,141.9,146.4,162.3,152.9,154.4,0,0
2017-07-15,23,EGGS,223.1,216.2,158.8,203.8,225.4,0,1
2017-07-16,23,EGGS,168.2,158.4,178.9,165.7,177.2,0,0
2017-07-17,23,EGGS,182.2,153.5,146.5,162.0,158.7,0,0
2017-07-18,23,EGGS,179.4,180.9,167.4,179.1,182.0,0,0
2017-07-19,23,EGGS,216.5,170.6,169.5,174.7,219.6,12,0
2017-07-20,23,EGGS,180.7,175.4,139.5,184.9,169.4,0,0
2017-07-21,23,EGGS,134.5,141.9,158.1,154.8,147.5,0,0
2017-07-22,23,EGGS,173.1,223.1,162.0,157.3,170.2,0,0
2017-07-23,23,EGGS,151.9,168.2,160.4,176.9,184.2,0,0
2017-07-24,23,EGGS,144.1,182.2,155.5,151.8,152.2,0,0
2017-07-25,23,EGGS,181.9,179.4,146.5,183.2,181.6,0,0
2017-07-26,23,EGGS,193.2,216.5,169.0,190.4,176.6,0,0
2017-07-27,23,EGGS,172.9,180.7,161.0,162.3,168.4,0,0
2017-07-28,23,EGGS,147.8,134.5,137.0,158.9,154.2,0,0
2017-07-29,23,EGGS,167.0,173.1,153.8,170.8,170.1,0,0
